key,cite,year,tipo_pub,pais,n_temas,T1,T2,T3,T4,T5,T6,T7,T8,entorno,kritzinger,kritzinger_lbl,sync,sync_lbl,has_ai,ai_families,has_immersive,pedagogia,nivel,dominio,participacion,ind_academia,diseno,diseno_lbl,effect_size,inferential,has_comparator,cog_reported,proc_reported,aff_reported,validity_threats,licencia_open,costo,sostenibilidad,post_covid,barreras_tec,barreras_inst,barreras_ped
Z3CB6MW8,"Nikolaev et al., 2018",2018,Conference proceedings,Russia,2,0,0,0,1,1,0,0,0,,,,,,0,,0,Active learning,Graduate,aeroespacial,proyecto completo de ciclo de vida,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0
4S7PWRLU,"Toivonen et al., 2018",2018,Conference proceedings,Finland,5,1,1,0,1,1,0,0,1,Hybrid physical-virtual,2,Digital shadow,3,Real-time,0,,0,Active learning,Undergraduate,manufactura,exploración guiada,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0
PG2CBLTM,"Promyoo et al., 2019",2019,Conference proceedings,USA,4,0,1,0,1,1,0,0,1,,,,,,0,,0,Experiential,Undergraduate,manufactura,proyecto completo de ciclo de vida,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
95CLH3FL,"Cortes et al., 2020",2020,Conference proceedings,Mexico,2,0,1,0,1,0,0,0,0,,2,Digital shadow,1,Asynchronous,0,,0,,,"manufactura, automatización, mecatrónica, sistemas",,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0
44H5ZW4K,"Liljaniemi et al., 2020",2020,Journal article,NR,4,0,0,0,1,1,1,0,1,,,,,,0,,0,Active learning,Undergraduate,automatización,proyecto completo de ciclo de vida,0,2,Case study / survey / pilot,0,0,0,0,0,1,1,,,0,0,1,1,0
XMATM5GI,"Cuiffi et al., 2021",2021,Conference proceedings,Estados Unidos,4,0,1,0,1,1,1,0,0,,,,,,0,,0,Active learning,Mixed,manufactura,experimentación activa,0,,,0,0,1,0,0,1,1,,,0,0,0,0,0
AUYHBWNM,"Fuertes et al., 2021",2021,Journal article,Spain,4,1,1,1,1,0,0,0,0,Hybrid physical-virtual,2,Digital shadow,1,Asynchronous,0,,1,,,automatización,,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
H4UKEM4U,"Keaveney et al., 2021",2021,Conference proceedings,Ireland,3,0,1,0,1,1,0,0,0,,,,3,Real-time,0,,0,Active learning,Mixed,manufactura,experimentación activa,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0
EA8ZWUTY,"Baranov et al., 2022",2022,Journal article,Россия,3,1,0,0,1,0,0,1,0,Immersive (VR/AR/MR),,,,,0,,1,,,metalurgia,,0,,,0,0,0,0,0,0,0,,High,0,1,0,0,0
8BL4J2HZ,"Eriksson et al., 2022",2022,Conference proceedings,Sweden,4,1,1,0,1,0,0,0,1,Hybrid physical-virtual,1,Digital model,,,0,,0,,,automatización,,0,,,0,0,0,0,0,0,0,,,0,0,1,0,0
6SLCII6M,"Mourtzis et al., 2022",2022,Journal article,Greece,4,1,0,0,0,1,0,1,1,Hybrid physical-virtual,,,,,0,,1,Experiential,Undergraduate,,experimentación activa,0,,,0,0,0,0,0,0,0,,,0,1,0,1,1
